title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Don't Touch the Loot",movie,"Crime, Drama",1954,tt0046451,7.7,9170,
"Demon Warriors",movie,"Action, Fantasy, Sci-Fi",2007,tt1190556,4.2,590,
"Time of Peace",movie,Drama,2009,tt1223932,6.9,658,
"Nina Frisk",movie,Comedy,2007,tt0827729,5.1,994,
"Trailer Park Boys: Countdown to Liquor Day",movie,"Comedy, Crime",2009,tt1337032,7.3,8132,
"The Bounty Hunter",movie,"Action, Comedy, Romance",2010,tt1038919,5.6,137382,
Salt,movie,"Action, Thriller",2010,tt0944835,6.5,337610,
"The Expendables",movie,"Action, Adventure, Thriller",2010,tt1320253,6.4,373252,
"The Other Guys",movie,"Action, Comedy, Crime",2010,tt1386588,6.7,299428,
"The Mechanic",movie,"Action, Crime, Thriller",2011,tt0472399,6.5,178709,
"Nothing Left to Do but Cry",movie,"Comedy, Fantasy",1984,tt0087814,7.6,7567,
"Divine Intervention",movie,"Comedy, Drama, Romance",2002,tt0274428,6.6,4116,
"Hana and Alice",movie,"Comedy, Drama, Romance",2004,tt0407851,7.2,5182,
"Rider on the Rain",movie,"Crime, Drama, Mystery",1970,tt0064791,6.6,4132,
"Pool of London",movie,"Crime, Drama",1951,tt0042851,7.1,1344,
"Rude Boy",movie,"Drama, Music",1980,tt0081441,6.4,1760,
"Airport 1975",movie,"Action, Drama, Thriller",1974,tt0071110,5.7,12757,
"She's Gotta Have It",movie,"Comedy, Romance",1986,tt0091939,6.8,17009,
"Night Boat to Dublin",movie,"Thriller, War",1946,tt0037943,6.2,468,
"Hachi: A Dog's Tale",movie,"Biography, Drama, Family",2009,tt1028532,8.1,328927,
Chloe,movie,"Drama, Mystery, Thriller",2009,tt1352824,6.3,80384,
"The Bohemian Life",movie,"Comedy, Drama, Romance",1992,tt0105750,7.6,6893,
"The Swan Princess: The Mystery of the Enchanted Treasure",movie,"Adventure, Animation, Comedy",1998,tt0149215,5.5,2622,
"Kicking and Screaming",movie,"Comedy, Drama, Romance",1995,tt0113537,6.7,15696,
Moonrise,movie,"Crime, Drama, Film-Noir",1948,tt0040607,7,3173,
"The Day the Earth Caught Fire",movie,"Drama, Romance, Sci-Fi",1961,tt0054790,7.2,6598,
"Sailor Moon SuperS: The Movie: Black Dream Hole",movie,"Action, Animation, Comedy",1995,tt0112513,7.4,1912,
"Sir Arne's Treasure",movie,"Drama, History",1919,tt0010247,7.1,1640,
"Dragon Ball Z: Dead Zone",movie,"Action, Adventure, Animation",1989,tt0142235,6.7,8543,
Kamchatka,movie,Drama,2002,tt0320042,7.1,3838,
"Detective Conan: The Raven Chaser",movie,"Action, Adventure, Animation",2009,tt1343046,7.2,2443,
Apaharan,movie,"Action, Crime, Drama",2005,tt0451631,7.4,5425,
"Detective Conan: The Last Wizard of the Century",movie,"Adventure, Animation, Crime",1999,tt1067920,7.5,3450,
"Peter Ball",movie,Family,2002,tt0261175,6.2,2439,
"Wild Chicks in Love",movie,"Comedy, Family, Romance",2006,tt0844463,5.8,788,
"Jean Charles",movie,"Biography, Drama",2009,tt0989007,6.3,1367,
"Count Axel",movie,Comedy,2001,tt0237289,5.5,776,
"Matti: Hell Is for Heroes",movie,"Biography, Comedy, Drama",2006,tt0390245,5.9,4302,
"Happy End",movie,"Comedy, Drama, Romance",2003,tt0332281,5.3,1662,
"Le Corbeau",movie,"Crime, Drama, Horror",1943,tt0035753,7.8,11508,
"Atlantis Interceptors",movie,"Action, Sci-Fi",1983,tt0086135,4.8,2493,
"The Feather Fairy",movie,"Action, Comedy, Fantasy",1985,tt0089800,7.5,1446,
Yessongs,movie,Music,1975,tt0070940,7.5,419,
"The Weapon",movie,"Crime, Mystery, Thriller",1956,tt0051184,6.2,462,
"The Jonsson Gang & Dynamite Harry",movie,Comedy,1982,tt0084189,6.1,4447,
"House of Sand",movie,Drama,2005,tt0373747,7.4,3417,
"Tony Takitani",movie,Drama,2004,tt0420260,7.2,5144,
"A Place of One's Own",movie,Drama,2009,tt1562254,6.9,95,
"Made in U.S.A",movie,"Comedy, Crime, Mystery",1966,tt0060647,6.2,4782,
"The Incredibly True Adventure of Two Girls in Love",movie,"Comedy, Drama, Romance",1995,tt0113416,6.6,5537,
"Göta kanal 3 - Kanalkungens hemlighet",movie,Comedy,2009,tt1465485,2.7,1291,
"The Human Beast",movie,"Crime, Drama",1938,tt0029957,7.5,8729,
"The Crazies",movie,Horror,2010,tt0455407,6.5,133785,
"One Hundred Steps",movie,"Biography, Crime, Drama",2000,tt0238891,7.5,6820,
"The Bloodstained Butterfly",movie,"Mystery, Thriller",1971,tt0067084,6.3,2188,
"Friends Forever",movie,"Animation, Family",2009,tt1395050,5.6,229,
"The Man Who Cried",movie,"Drama, Music, Romance",2000,tt0206917,6.1,16851,
"Faith Like Potatoes",movie,Drama,2006,tt0850667,6.6,3633,
Tenebrae,movie,"Horror, Mystery, Thriller",1982,tt0084777,7,29483,
"In Bed with Santa",movie,Comedy,1999,tt0201265,6.9,9329,
"Legend Quest: The Legend of La Nahuala",movie,"Animation, Family, Fantasy",2007,tt1003009,6.2,769,
"The Rooster",movie,"Comedy, Romance",1981,tt0083238,5.9,1117,
"Restless Natives",movie,"Comedy, Crime",1985,tt0089904,6.8,2103,
"Easy Money",movie,"Action, Crime, Drama",2010,tt1291652,6.7,20276,
"Scent of Love",movie,"Drama, Romance",2003,tt0349517,6.3,264,
"Facing Windows",movie,"Drama, Romance",2003,tt0352343,7.2,11997,
Mother,movie,"Crime, Drama, Mystery",2009,tt1216496,7.7,76726,
"Passport to Pimlico",movie,Comedy,1949,tt0041737,7.1,5611,
"Warlords of the Deep",movie,"Adventure, Fantasy, Horror",1978,tt0078474,5.5,2964,
"Lupin the 3rd: The Mystery of Mamo",movie,"Action, Adventure, Animation",1978,tt0078187,6.9,1852,
"Lilly the Witch: The Dragon and the Magic Book",movie,"Adventure, Comedy, Family",2009,tt1176731,5.2,667,
"Sune's Summer",movie,"Comedy, Family",1993,tt0108252,7,5307,
"The Year I Became a Liar",movie,"Comedy, Drama, Family",2009,tt1286159,7.2,2174,
"Stuart Little 3: Call of the Wild",movie,"Animation, Comedy, Family",2005,tt0472602,4.3,5632,
"Olsenbanden Junior går under vann",movie,"Comedy, Family",2003,tt0387463,5.1,783,
"A Midsummer of Love",movie,Comedy,2009,tt1305869,5.4,3502,
"Comfort and Joy",movie,Comedy,1984,tt0087072,6.6,2479,
Fireball,movie,"Action, Adventure, Drama",2009,tt1420771,5,1074,
"Leningrad Cowboys Meet Moses",movie,"Adventure, Comedy, Music",1994,tt0107384,5.6,1918,
"Army of Crime",movie,"Drama, History, War",2009,tt1258120,6.7,3660,
"Bloody New Year",movie,"Comedy, Horror, Mystery",1987,tt0092676,4.5,2506,
"Sailor Moon S: The Movie - Hearts in Ice",movie,"Action, Animation, Comedy",1994,tt0109277,7.6,2370,
Overcoming,movie,"Documentary, Sport",2005,tt0465556,6.4,451,
"Magic Carpet Ride",movie,"Comedy, Crime",2005,tt0470883,7.4,36537,
"Chance Pe Dance",movie,"Comedy, Drama, Music",2010,tt1392744,4.8,3214,
"The Concrete Jungle",movie,"Crime, Drama, Thriller",1960,tt0053740,6.8,1861,
Antique,movie,"Comedy, Drama, Romance",2008,tt1205551,6.8,1680,
"Dr Jekyll & Sister Hyde",movie,"Horror, Sci-Fi",1971,tt0068502,6.6,4211,
"The Deep End of the Ocean",movie,Drama,1999,tt0120646,6.3,22352,
"The Lost Son",movie,"Crime, Drama, Romance",1999,tt0144286,6.4,2172,
Butterfly,movie,"Drama, War",1999,tt0188030,7.6,10270,
"Recep Ivedik",movie,Comedy,2008,tt1193516,4.9,30200,
"Recep Ivedik 2",movie,Comedy,2009,tt1373215,4.6,23884,
"Palabras encadenadas",movie,"Crime, Drama, Thriller",2003,tt0339489,7,2596,
"Fear and Trembling",movie,"Comedy, Drama",2003,tt0318725,7,4923,
Genesis,movie,Documentary,2004,tt0287457,7.1,1542,
"With Fire and Sword",movie,"Adventure, Drama, History",1999,tt0128378,7,5732,
"Love in the City",movie,"Drama, Romance",1953,tt0045504,6.5,1563,
Loners,movie,Comedy,2000,tt0219288,7.5,3365,
"The New Protocol",movie,"Action, Drama, Mystery",2008,tt0926763,6.1,1060,
"The 317th Platoon",movie,War,1965,tt0058863,7.3,1759,
"Doraemon: Nobita and the Legend of the Sun King",movie,"Adventure, Animation, Comedy",2000,tt1147513,7.1,1196,
"My Sweet Little Village",movie,Comedy,1985,tt0090257,7.8,5047,
"Double Identity",movie,"Action, Crime, Thriller",2009,tt1290400,4.5,2850,
"Lust for a Vampire",movie,Horror,1971,tt0067367,5.7,3933,
"Memories of Matsuko",movie,"Comedy, Drama, Musical",2006,tt0768120,7.8,9170,
Indian,movie,"Action, Drama, Musical",1996,tt0116630,8.1,15515,
"The Tree of Wooden Clogs",movie,"Drama, History",1978,tt0077138,7.8,8532,
"Lupin III: Island of Assassins",movie,"Action, Adventure, Animation",1997,tt0189974,7.2,597,
Balibo,movie,"Biography, Drama, History",2009,tt1111876,7,3002,
"Private Eye",movie,Thriller,2009,tt1483004,6.7,1127,
"The Sound of Trumpets",movie,Drama,1961,tt0055320,7.9,7242,
"Steptoe & Son",movie,"Comedy, Romance",1972,tt0069311,6.5,1915,
"Pédale douce",movie,Comedy,1996,tt0117412,5.8,2007,
Queens,movie,"Comedy, Romance",2005,tt0434304,6.5,2232,
"Czas surferów",movie,"Comedy, Crime",2005,tt0476755,5.9,1441,
"Skazany na bluesa",movie,"Biography, Drama, Music",2005,tt0476872,6.9,2512,
"Welcome Mr. Marshall!",movie,Comedy,1953,tt0045554,7.9,5049,
Black,movie,Drama,2005,tt0375611,8.1,36927,
"Detective Conan: Countdown to Heaven",movie,"Action, Animation, Crime",2001,tt1073223,7.6,3317,
"Carry on Jack",movie,"Adventure, Comedy, Romance",1964,tt0057919,5.9,2714,
"Carry on Nurse",movie,"Comedy, Romance",1959,tt0051452,6.2,3371,
"Carry on Sergeant",movie,"Comedy, War",1958,tt0051453,6.3,3158,
"Carry on Teacher",movie,Comedy,1959,tt0052676,6.2,2804,
"Carry on Regardless",movie,Comedy,1961,tt0054727,6,2640,
Hanbando,movie,"Drama, Mystery, Thriller",2006,tt0473490,4.8,386,
"Running Wild",movie,"Action, Crime, Drama",2006,tt0485552,6.3,892,
"Mr. Socrates",movie,"Action, Crime",2005,tt0488762,6.2,505,
Typhoon,movie,Action,2005,tt0475750,5.7,1428,
Voice,movie,Horror,2005,tt0470967,6.2,1753,
"The Magnet",movie,"Crime, Drama",2000,tt0245062,5.7,294,
"Wild Horses",movie,"Comedy, Crime, Drama",1995,tt0112609,7.1,1935,
"Another Public Enemy",movie,"Action, Drama",2005,tt0433328,6,703,
"Wishing Stairs",movie,"Drama, Horror",2003,tt0370082,5.8,3408,
Phone,movie,"Horror, Mystery, Thriller",2002,tt0323630,6.1,5395,
"Ask Geliyorum Demez",movie,"Comedy, Romance",2009,tt1523411,5.1,1904,
Mixtape,movie,"Comedy, Drama, Family",2021,tt1587420,6.6,4365,
Balls,movie,"Comedy, Drama, Family",2010,tt1570966,5.7,3634,
"Justice, My Foot!",movie,"Action, Comedy, Crime",1992,tt0105385,6.8,3305,
"Mall Girls",movie,Drama,2009,tt1499228,5.4,2585,
"Flic Story",movie,"Crime, Drama, Thriller",1975,tt0072996,6.9,3257,
"Time You Change",movie,"Biography, Drama, Music",2010,tt1343704,3.1,5773,
Gabrielle,movie,"Drama, Romance",2005,tt0435479,6.2,2171,
"First Name: Carmen",movie,"Crime, Drama, Music",1983,tt0086153,6.3,4748,
"Do You Like Spring Bear?",movie,"Comedy, Drama, Romance",2003,tt0370360,5.8,324,
"Doing Hard Time",movie,"Action, Drama",2004,tt0427166,4.8,1910,
"Get Him to the Greek",movie,"Comedy, Music",2010,tt1226229,6.3,188236,
"Against the Wind",movie,"Action, Drama, Thriller",1948,tt0040080,6.3,850,
"Mulan: Rise of a Warrior",movie,"Adventure, Drama, Romance",2009,tt1308138,6.6,7042,
"Recep Ivedik 3",movie,Comedy,2010,tt1577061,4.3,22291,
"Heat Wave",movie,"Crime, Drama, Film-Noir",1954,tt0047067,6,886,
"Solomon Kane",movie,"Action, Adventure, Fantasy",2009,tt0970452,6.1,78915,
Paheli,movie,"Comedy, Drama, Fantasy",2005,tt0451850,6.4,14797,
"Public Enemy",movie,"Action, Crime",2002,tt0306909,7.1,2428,
"Tidal Wave",movie,"Action, Drama, Sci-Fi",2009,tt1153040,5.5,5470,
Tapas,movie,"Comedy, Drama",2005,tt0434382,6.7,2860,
"The Way Home",movie,Drama,2002,tt0312841,7.7,6115,
6ixtynin9,movie,"Comedy, Crime, Thriller",1999,tt0235154,7.2,2479,
"Cell 211",movie,"Action, Crime, Drama",2009,tt1242422,7.6,72544,
"The Big Day",movie,"Comedy, Romance",2005,tt0425482,5.3,492,
"The Girl from Paris",movie,"Comedy, Drama",2001,tt0240149,6.6,2513,
"Between Calmness and Passion",movie,Romance,2001,tt0291753,6.6,527,
Aftermath,movie,Drama,2004,tt0386582,6.8,863,
"The Valachi Papers",movie,"Crime, Drama",1972,tt0068341,6.4,4788,
Twigson,movie,"Adventure, Comedy, Family",2009,tt1245775,5.8,558,
"Temporary Release",movie,"Comedy, Drama",2007,tt0791244,5.6,704,
Lotto,movie,Comedy,2006,tt0466056,5.4,755,
"Move Me",movie,"Comedy, Drama",2003,tt0344011,6.4,1098,
"The Wedding Photographer",movie,"Comedy, Drama, Romance",2009,tt1359421,6,4441,
Pellet,movie,Drama,2000,tt0243794,7.3,7267,
"Wanee & Junah",movie,"Drama, Romance",2001,tt0300633,6.8,449,
"It Takes Two",movie,"Comedy, Family, Romance",1995,tt0113442,6,26695,
"French Fried Vacation 2",movie,Comedy,1979,tt0078907,7.4,9670,
"Tony Manero",movie,"Drama, Music",2008,tt1223975,6.8,4656,
"Starring Maja",movie,"Comedy, Drama, Family",2009,tt1216501,6.3,645,
"Place Vendôme",movie,"Crime, Drama",1998,tt0119901,6.2,2760,
"Goodbye Gary Cooper",movie,Drama,2009,tt1298828,6,291,
Mammoth,movie,"Drama, Romance",2009,tt1038043,6.8,10639,
"She's Out of My League",movie,"Comedy, Romance",2010,tt0815236,6.4,149635,
"14 Blades",movie,"Action, History, Thriller",2010,tt1442571,6.3,8655,
"Rosa: The Movie",movie,"Comedy, Drama, Family",2007,tt0997260,4.7,529,
"God Is Brazilian",movie,"Comedy, Drama, Fantasy",2003,tt0350804,6,2635,
"Duck Season",movie,"Comedy, Drama",2004,tt0407246,7.2,4851,
"Blind Revenge",movie,"Mystery, Thriller",2009,tt1320236,5.4,1134,
"Battles Without Honor and Humanity",movie,"Crime, Drama",1973,tt0070246,7.4,4571,
"Men with Brooms",movie,"Comedy, Drama, Romance",2002,tt0263734,5.9,4813,
"Dragon Ball Z: Broly - The Legendary Super Saiyan",movie,"Action, Animation, Fantasy",1993,tt0142242,7.4,12784,
"Mano po 6: A Mother's Love",movie,Drama,2009,tt1488579,6.2,49,
"Scars of Dracula",movie,Horror,1970,tt0067713,6,6832,
"Sorry, If I Love You",movie,Romance,2008,tt1074213,6.1,5576,
"Bill Hicks: Relentless",movie,"Comedy, Documentary",1992,tt0148668,8.5,2699,
"Chestnut: Hero of Central Park",movie,"Comedy, Drama, Family",2004,tt0387925,5.8,1623,
"House of Angels",movie,"Comedy, Drama",1992,tt0105916,6.4,5584,
"U Pana Boga za miedza",movie,Comedy,2009,tt1368448,6,571,
"Karthik Calling Karthik",movie,"Drama, Mystery, Romance",2010,tt1373156,7.1,14786,
"I'm All Right Jack",movie,Comedy,1959,tt0052911,7.1,4594,
"Death at a Funeral",movie,"Comedy, Drama",2010,tt1321509,5.7,55571,
"The Back-up Plan",movie,"Comedy, Romance",2010,tt1212436,5.3,53835,
"The Losers",movie,"Action, Adventure, Comedy",2010,tt0480255,6.2,109510,
Mafioso,movie,"Comedy, Crime, Drama",1962,tt0056210,7.6,3151,
"It Always Rains on Sunday",movie,"Crime, Drama, Romance",1947,tt0040481,7.1,2582,
"A Man Who Was Superman",movie,"Comedy, Drama",2008,tt1119199,7.2,2316,
"Nanny McPhee Returns",movie,"Comedy, Family, Fantasy",2010,tt1415283,6.1,38661,
"Murphy's War",movie,"Drama, War",1971,tt0067458,6.7,4227,
"Death in the Garden",movie,"Adventure, Crime, Drama",1956,tt0049521,6.7,2744,
Strul,movie,"Action, Comedy, Crime",1988,tt0096184,5.9,3010,
"Brothers: The Return",movie,"Crime, Drama, Thriller",2006,tt0499586,6.6,996,
"Beware of the Jonsson Gang!",movie,"Comedy, Crime",1981,tt0083276,6.3,4759,
"The Villain",movie,"Action, Comedy, Crime",2009,tt1194242,6.3,1559,
"Miao Miao",movie,"Comedy, Drama, Romance",2008,tt0984130,6.3,1234,
Cookies,movie,"Comedy, Drama",1975,tt0187044,6.5,1161,
"Cado dalle nubi",movie,Comedy,2009,tt1526741,6.5,6383,
"Harishchandrachi Factory",movie,"Biography, Comedy, Drama",2009,tt1524539,8.4,2789,
"Geronimo: An American Legend",movie,"Drama, History, Western",1993,tt0107004,6.6,14404,
"The Chef",movie,Drama,2005,tt0452032,5.8,1476,
"They Came from Beyond Space",movie,"Adventure, Sci-Fi",1967,tt0062360,4.6,2210,
Madeline,movie,"Comedy, Family",1998,tt0123987,6,8331,
"Letters to God",movie,Drama,2010,tt1462054,6.2,5481,
"Welcome to Sajjanpur",movie,"Comedy, Drama",2008,tt1221139,6.9,3411,
"Resident Evil: Afterlife",movie,"Action, Horror, Sci-Fi",2010,tt1220634,5.8,183718,
"Les parasites",movie,"Comedy, Drama",1999,tt0182357,5.6,471,
"The Farmer's Wife",movie,"Comedy, Drama, Romance",1928,tt0018876,5.8,3289,
"The Hell of '63",movie,"Adventure, Comedy, Drama",2009,tt1156132,6.2,2506,
"Flash Point",movie,"Action, Crime, Thriller",2007,tt0992911,6.7,14187,
"One More Chance",movie,"Drama, Romance",2007,tt1102316,7.5,913,
Sarafina!,movie,"Drama, Musical",1992,tt0105316,6.3,2381,
"East of Shanghai",movie,"Comedy, Drama, Romance",1931,tt0023395,5.7,5162,
Champagne,movie,Comedy,1928,tt0018756,5.4,2863,
"The Crocodiles Strike Back",movie,"Adventure, Family",2010,tt1473352,5.8,1004,
"Be with You",movie,"Drama, Fantasy, Romance",2004,tt0442268,7.8,5141,
"State Affairs",movie,"Mystery, Thriller",2009,tt1282156,6.3,693,
"The Dark House",movie,"Crime, Drama, Thriller",2009,tt1485698,7.3,5392,
"GTO: The Movie",movie,"Comedy, Drama",1999,tt0315870,6.6,1211,
"The Little Match Girl",movie,"Drama, Fantasy, Short",1928,tt0019267,7.1,1661,
Squeak-squeak,movie,Comedy,1963,tt0057422,6.5,2200,
Bananas!*,movie,"Crime, Documentary, Drama",2009,tt1452291,6.9,970,
Paju,movie,Drama,2009,tt1515205,6.5,584,
"Dlaczego nie!",movie,"Comedy, Romance",2007,tt0878113,3.6,862,
Fluke,movie,"Comedy, Crime",1999,tt0210056,6,1294,
"Janosik: A True Story",movie,"Adventure, Drama, Romance",2009,tt1467134,5,886,
"U Pana Boga w ogródku",movie,Comedy,2007,tt1105300,6.3,886,
"We're All Christs",movie,Drama,2006,tt0794399,7.2,2855,
"Lemming's First Case",movie,"Comedy, Crime",2009,tt1331309,6.2,172,
"Blade II",movie,"Action, Horror, Sci-Fi",2002,tt0187738,6.7,245134,
"Naked Gun 33 1/3: The Final Insult",movie,"Comedy, Crime",1994,tt0110622,6.5,116718,
"El ratón Pérez",movie,"Adventure, Animation, Comedy",2006,tt0458076,4.8,938,
Blade,movie,"Action, Horror, Sci-Fi",1998,tt0120611,7.1,317928,
"Blade: Trinity",movie,"Action, Horror, Sci-Fi",2004,tt0359013,5.8,196290,
"Bert: The Last Virgin",movie,"Comedy, Family, Romance",1995,tt0112480,5.9,2212,
Secret,movie,Thriller,2009,tt1533086,6.5,715,
"20th Century Boys 1: Beginning of the End",movie,"Adventure, Fantasy, Mystery",2008,tt1155705,6.6,2888,
"Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire",movie,"Action, Animation, Fantasy",2009,tt1481363,7,4766,
"School for Scoundrels",movie,Comedy,1960,tt0054279,7.3,4128,
Stricken,movie,"Drama, Romance",2009,tt1365474,6.8,5614,
"The Blood of a Poet",movie,Fantasy,1932,tt0021331,7.2,7712,
"Run, Waiter, Run!",movie,Comedy,1981,tt0081730,7.9,2389,
"The Crossing",movie,"Comedy, Romance, Thriller",2004,tt0383184,5.7,602,
"Slunce, seno a pár facek",movie,Comedy,1989,tt0246934,6.8,1374,
"Sun, Hay, Berries",movie,Comedy,1984,tt0195274,7,1664,
Fuga,movie,"Drama, Music, Thriller",2006,tt0442236,6.3,1255,
"So Different",movie,"Comedy, Drama",2009,tt1472179,4.3,273,
"True Legend",movie,"Action, Drama, History",2010,tt1425257,6.4,9376,
"Falling Down",movie,"Crime, Drama, Thriller",1993,tt0106856,7.6,216973,
"Sailor Moon R: The Movie: The Promise of the Rose",movie,"Action, Animation, Comedy",1993,tt0106417,7.6,3013,
"The Naked Gun: From the Files of Police Squad!",movie,"Comedy, Crime",1988,tt0095705,7.6,196524,
"The Truman Show",movie,"Comedy, Drama",1998,tt0120382,8.2,1284915,
"Hue and Cry",movie,"Adventure, Comedy, Crime",1947,tt0039478,6.7,1925,
"The Firm",movie,"Drama, Mystery, Thriller",1993,tt0106918,6.9,154843,
"Shin Chan: The Adult Empire Strikes Back",movie,"Action, Adventure, Animation",2001,tt0831848,7.8,1443,
"Take Care of My Cat",movie,Drama,2001,tt0296658,7.1,2690,
Agneepath,movie,"Action, Crime, Drama",1990,tt0098999,7.6,9737,
"Conan the Barbarian",movie,"Action, Adventure, Fantasy",2011,tt0816462,5.2,104330,
"Police Python 357",movie,"Crime, Drama, Thriller",1976,tt0075082,6.9,2231,
"Ip Man 2",movie,"Action, Biography, Drama",2010,tt1386932,7.5,114063,
"Four Lions",movie,"Comedy, Crime, Drama",2010,tt1341167,7.3,88385,
"Vieni avanti cretino",movie,Comedy,1982,tt0167479,7.1,1468,
"Heaven's Soldiers",movie,"Action, Comedy, Sci-Fi",2005,tt0470711,5.9,649,
Stronghold,movie,"Action, Crime, Thriller",1985,tt0090325,6.2,642,
"The Three Brothers",movie,Comedy,1995,tt0114732,7.2,7791,
"The Railway Children",movie,"Drama, Family",1970,tt0066279,7.3,6015,
"Forbidden City Cop",movie,"Action, Comedy, Fantasy",1996,tt0116014,6.9,4936,
"Flirting Scholar",movie,"Comedy, Romance",1993,tt0108289,7.6,6670,
"The Tourist",movie,"Action, Thriller",2010,tt1243957,6,263667,
"It's a Boy Girl Thing",movie,"Comedy, Fantasy, Romance",2006,tt0482527,6.2,43766,
"The Jönsson Gang Gets Gold Fever",movie,"Comedy, Crime",1984,tt0087527,6.3,4560,
"The Jönsson Gang in Mallorca",movie,"Comedy, Crime",1989,tt0097636,6,4272,
"The Jonsson Gang's Greatest Robbery",movie,"Comedy, Crime",1995,tt0113510,5,2485,
"Easy A",movie,"Comedy, Drama, Romance",2010,tt1282140,7,432282,
"Sex and the City 2",movie,"Comedy, Drama, Romance",2010,tt1261945,4.5,86520,
"Whisper of the Heart",movie,"Animation, Drama, Family",1995,tt0113824,7.8,78672,
"The Social Network",movie,"Biography, Drama",2010,tt1285016,7.8,791720,
Killers,movie,"Action, Comedy, Romance",2010,tt1103153,5.5,98219,
Armadillo,movie,"Documentary, War",2010,tt1640680,7.4,10560,
"Knight and Day",movie,"Action, Adventure, Comedy",2010,tt1013743,6.3,218521,
"Valhalla Rising",movie,"Adventure, Drama, Fantasy",2009,tt0862467,6,65335,
"Take Off",movie,"Comedy, Drama, Sport",2009,tt1298648,6.8,1060,
"The Devil's Men",movie,Horror,1976,tt0074769,4.3,1960,
"Tales from Earthsea",movie,"Adventure, Animation, Fantasy",2006,tt0495596,6.3,46574,
"Charlie St. Cloud",movie,"Drama, Fantasy, Romance",2010,tt1438254,6.4,65719,
Raajneeti,movie,"Drama, Thriller",2010,tt1291465,7.1,19602,
Immortals,movie,"Action, Drama, Fantasy",2011,tt1253864,6,180441,
"Kaiji: The Ultimate Gambler",movie,Drama,2009,tt1309449,6.4,2192,
"Phobia 2",movie,"Comedy, Fantasy, Horror",2009,tt1521846,6.6,2928,
Alone,movie,"Drama, Horror, Thriller",2007,tt0484090,6.4,5989,
"Permanent Vacation",movie,"Comedy, Drama",1980,tt0084488,6.1,11284,
"The Big Swindle",movie,"Action, Comedy, Crime",2004,tt0402842,6.5,1015,
"Ghosts of Cité Soleil",movie,"Action, Documentary, Drama",2006,tt0479046,6.9,1949,
"Great, My Parents Are Divorcing!",movie,"Comedy, Family",1991,tt0099724,5.5,501,
"Tazza: The High Rollers",movie,"Comedy, Crime",2006,tt0875025,7.1,3016,
"The President's Barber",movie,"Comedy, Drama",2004,tt0406853,6.9,1084,
"Princess Aurora",movie,"Crime, Drama, Mystery",2005,tt0488174,6.5,1320,
"5 Centimeters per Second",movie,"Animation, Drama, Family",2007,tt0983213,7.5,67686,
"Eat Pray Love",movie,"Biography, Drama, Romance",2010,tt0879870,5.8,110433,
Unthinkable,movie,"Crime, Drama, Thriller",2010,tt0914863,7,97799,
"18 ans après",movie,"Comedy, Drama, Romance",2003,tt0271337,4.6,684,
"The Widows of Thursdays",movie,"Crime, Drama, Mystery",2009,tt1386741,6,1262,
Mediterraneo,movie,"Comedy, Drama, War",1991,tt0102426,7.4,17077,
"Three Men and a Leg",movie,Comedy,1997,tt0135007,7.7,12088,
"Well Done Abba!",movie,Comedy,2009,tt1397492,7.2,2056,
"The Ape",movie,"Drama, Thriller",2009,tt1459026,5.9,2051,
"Your Highness",movie,"Action, Adventure, Comedy",2011,tt1240982,5.5,106324,
Priest,movie,"Action, Fantasy, Horror",2011,tt0822847,5.7,126774,
"Transformers: Dark of the Moon",movie,"Action, Adventure, Sci-Fi",2011,tt1399103,6.2,444760,
"Grown Ups",movie,Comedy,2010,tt1375670,6,295975,
"The Cyclone",movie,"Comedy, Romance",1996,tt0115899,6.8,5916,
"Uncle Boonmee Who Can Recall His Past Lives",movie,"Drama, Fantasy",2010,tt1588895,6.7,18305,
Superheroes,movie,Comedy,2010,tt1596722,2.8,1259,
"Demons of War",movie,"Drama, War",1998,tt0144164,6.3,1130,
Nathalie...,movie,"Drama, Romance",2003,tt0348853,6.3,5231,
"That's Life",movie,"Adventure, Comedy",1998,tt0166556,7,5794,
"The Legend of Al, John and Jack",movie,"Comedy, Crime",2002,tt0345561,6.5,5484,
"Bad Day",movie,"Crime, Thriller",2008,tt0878649,4.1,375,
"Life as We Know It",movie,"Comedy, Drama, Romance",2010,tt1055292,6.5,142148,
"Buffet Froid",movie,"Comedy, Crime, Drama",1979,tt0078913,7.2,6951,
"The Firemen's Ball",movie,"Comedy, Drama",1967,tt0061781,7.4,12852,
"The Necessities of Life",movie,Drama,2008,tt1280501,7.6,1055,
"Snakes and Earrings",movie,Thriller,2008,tt1254249,6.1,938,
"The Karate Kid",movie,"Action, Drama, Family",2010,tt1155076,6.2,217318,
Marmaduke,movie,"Comedy, Family",2010,tt1392197,4.3,18192,
"George Lopez: Why You Crying?",movie,"Comedy, Documentary",2004,tt6344974,7.1,149,
"Battle Under Orion",movie,"Action, War",2009,tt1382642,6.1,534,
"Jane Eyre",movie,"Drama, Mystery, Romance",2011,tt1229822,7.3,95659,
"Bad Boys for Life",movie,"Action, Comedy, Crime",2020,tt1502397,6.5,190835,
Dogtooth,movie,"Drama, Thriller",2009,tt1379182,7.1,117431,
"Horrors of the Black Museum",movie,Horror,1959,tt0052901,5.9,1841,
"Middle Men",movie,"Comedy, Crime, Drama",2009,tt1251757,6.8,38720,
